Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
copy-of-chuck-meatloaf-pastram,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_1ce6ff10-e7c6-4c00-a0e3-4bea2032a695.jpg?v=1544778513,3,,,,,,,,,,,,,,,,,,,,,
copy-of-ea-tempor-prosciutto,Chuck meatloaf pastram,"<p>Curabitur egestas malesuada volutpat. Nunc vel vestibulum odio, ac pellentesque lacus. Pellentesque dapibus nunc nec est imperdiet, a malesuada sem rutrum. Sed quam odio, porta a finibus quis, sagittis aliquet leo. Nunc ornare metus urna, eu luctus velit placerat ut. Cras at porttitor lectus. Ut dapibus aliquam nibh, in imperdiet libero tincidunt sit amet. Morbi sodales fermentum nibh nec facilisis. Morbi pharetra varius velit, eget varius libero finibus quis. Quisque auctor varius lectus, lacinia rhoncus velit posuere vel. Cras condimentum tincidunt urna, sed vehicula ipsum dapibus et. Pellentesque pharetra ultrices varius. Sed viverra nec purus ut ornare.</p>
<h3>Phasellus elementum:</h3>
<ul>
<li>Aenean auctor sem ac ex efficitur</li>
<li>Non mattis odio bibendum</li>
<li>Sed vitae enim at tortor finibus</li>
<li>Integer facilisis eleifend vehicula</li>
<li>In hac habitasse platea dictumst</li>
</ul>
<p>Sed molestie orci sem, at semper est molestie ac. Suspendisse cursus feugiat erat, eu posuere massa. Nullam posuere nibh non eros lobortis tempus. Maecenas dignissim elementum massa, vel accumsan urna elementum in. Suspendisse at dui euismod, rhoncus eros non, imperdiet ipsum. Vestibulum vehicula vel turpis et vestibulum. Ut porta et ex maximus malesuada.</p>",Adidas,Nikes,"0 - $99, Black, deal 2019/9/9, Under$69, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,55.00,63.00,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/13_81c0d1b1-779b-45e4-98e7-529d1e35df91.jpg?v=1544778662,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-ea-tempor-prosciutto,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_48cb29b0-608f-4e20-b8da-853c8fbcaa33.jpg?v=1544778672,2,,,,,,,,,,,,,,,,,,,,,
copy-of-ea-tempor-prosciutto,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_e9bf4b35-ec3e-4a50-85f7-dd26de8fb4c9.jpg?v=1544778674,3,,,,,,,,,,,,,,,,,,,,,
copy-of-pig-pork-rump-aliquip,Aliquip veniam dolo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sede eiusmod tempor incididunt ut labore et doloreme gna aliqua. Duis aute irure dolor in reprehenderit in voluptatevelit esse pariatur. Duis aute irure reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim vexercitation ullamco laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Ut enim ad minim vexercitation ullamco laboris nisi ut aliq uip ex eacommod consequat. Duis reprehenderit in voluptate velit. esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Duis auto mr reprehenderit in voluptateveli esse cillum dolore eu fugiat nulla pariatur. Ut enim ad minim veniam, quis nostrud exercitation ullamc laboris nisi ut aliquip ex eacommod consequat. Duis reprehenderit iesse cillum dolore eusm fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident. Lorem ipsum dolor sit amet, consectetur adipiscing elit,",Sports,Nikes,"0 - $99, Black, Fashion, Fitness, Football, Under $69",true,Title,Default Title,,,,,"",0,,1,deny,manual,65.00,,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/2_532c3305-68f1-4553-87bf-671ece7b9a4e.jpg?v=1544777832,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-pig-pork-rump-aliquip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/4_f7c98814-4d05-4008-adcc-0ef4d92e0777.jpg?v=1544777856,2,,,,,,,,,,,,,,,,,,,,,
copy-of-pig-pork-rump-aliquip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/5_3046ee5b-1795-4a93-b761-1a2c80f8d3b8.jpg?v=1544777862,3,,,,,,,,,,,,,,,,,,,,,
copy-of-pig-pork-rump-aliquip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/6_47c3560d-02fe-43b3-83b4-b4492238146d.jpg?v=1544777868,4,,,,,,,,,,,,,,,,,,,,,
copy-of-pig-pork-rump-aliquip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/7_7fc28d40-81f4-417b-b82f-3e8d43c89b51.jpg?v=1544777873,5,,,,,,,,,,,,,,,,,,,,,
copy-of-pig-pork-rump-aliquip,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/8_aac60b35-512b-47ea-9e4e-359171815831.jpg?v=1544777880,6,,,,,,,,,,,,,,,,,,,,,
copy-of-pastrami-meatloaf-pance,Brisket alcatra chuck,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur.</p>",Adidas,Nikes,"$100 - $199, Black, Fashion, White",true,Title,Default Title,,,,,"",0,,1,deny,manual,121.00,,true,true,"",https://cdn.shopify.com/s/files/1/0100/9129/8880/products/10_e99dc08b-abcc-44bf-b365-6028e405ade8.jpg?v=1544778310,1,,false,,,,,,,,,,,,,,,,,kg,,
copy-of-pastrami-meatloaf-pance,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/11_7fc5a91d-0363-4dd6-8446-dbd37f145a44.jpg?v=1544778317,2,,,,,,,,,,,,,,,,,,,,,
copy-of-pastrami-meatloaf-pance,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0100/9129/8880/products/12_dd25b233-0e81-4816-99e0-46670e3c78c1.jpg?v=1544778323,3,,,,,,,,,,,,,,,,,,,,,
